rank,token,occurrences,dominant_bm,dominant_count,outlier_bm,outlier_count,recommended_primary_bm,allowed_alternates_bm,flags,score,sample_keys,sample_english,policy_note
108,ٱلۡمُجۡرِمِينَ,18,orang-orang yang berdosa,16,orang -orang yang berdosa,1,orang-orang yang berdosa,,outside_policy | long_gloss,87.67,6:147:13,(who are) criminals,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
109,ٱلۡمُجۡرِمِينَ,18,orang-orang yang berdosa,16,orang-orang yang berbuat dosa,1,orang-orang yang berdosa,,outside_policy | long_gloss,87.67,10:13:17,(who are) criminals,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
110,مِنكُمۡ,50,di antara kamu,31,dari kamu/kepadamu,1,di antara kamu,,outside_policy | slash_gloss | entity_or_pronoun_shift,87.60,15:52:8,(are) of you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
111,مِنكُمۡ,50,di antara kamu,31,dari/dengan kamu,1,di antara kamu,,outside_policy | slash_gloss | entity_or_pronoun_shift,87.60,7:18:11,with you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
112,مِنكُمۡ,50,di antara kamu,31,di antara kami,1,di antara kamu,,outside_policy | long_gloss | entity_or_pronoun_shift,87.60,24:22:5,among you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
113,عَنۡهُمۡ,43,dari mereka,38,bagi mereka,1,dari mereka,,outside_policy | entity_or_pronoun_shift,87.51,46:26:14,them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
114,يُؤۡمِنُونَ,86,mereka beriman,53,mereka tidak beriman,1,mereka beriman,,outside_policy | long_gloss | entity_or_pronoun_shift,87.49,52:33:6,they believe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
115,يُؤۡمِنُونَ,86,mereka beriman,53,mereka yang beriman,1,mereka beriman,,outside_policy | long_gloss | entity_or_pronoun_shift,87.49,2:88:10,they believe,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
116,عَنۡ,34,dari,30,diri/tentang,1,dari,,outside_policy | slash_gloss,87.47,33:20:15,about,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
117,وَكَانَ,84,dan adalah,74,dan ia adalah,1,dan adalah,,outside_policy | long_gloss,87.43,2:34:11,and became,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
118,ٱلۡمُؤۡمِنِينَ,70,orang-orang yang beriman,43,orang-orang mukmin (beriman) laki-laki,1,orang-orang yang beriman,,outside_policy | parenthetical | long_gloss,87.43,85:10:4,the believing men,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
119,وَهُمۡ,110,dan mereka,67,dan/ketika mereka,1,dan mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,87.27,36:49:7,while they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
120,وَهُمۡ,110,dan mereka,67,dan/namun mereka,1,dan mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,87.27,13:13:13,yet they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
121,وَهُمۡ,110,dan mereka,67,dan/tetapi mereka,1,dan mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,87.27,21:23:5,but they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
122,عَنۡهُم,16,dari mereka,14,bagi mereka,1,dari mereka,,outside_policy | entity_or_pronoun_shift,87.25,40:82:22,them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
123,ٱلظَّـٰلِمِينَ,63,orang-orang yang zalim,55,orang-orang ynag zalim,1,orang-orang yang zalim,,outside_policy | long_gloss,87.19,45:19:9,the wrongdoers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
124,ٱلظَّـٰلِمُونَ,23,orang-orang yang zalim,20,orang-orang yang aniaya,1,orang-orang yang zalim,,outside_policy | long_gloss,87.09,6:21:14,the wrongdoers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
125,ٱلظَّـٰلِمُونَ,23,orang-orang yang zalim,20,orang-orang yang menganiaya,1,orang-orang yang zalim,,outside_policy | long_gloss,87.09,21:64:7,(are) the wrongdoers,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
126,فِيهِ,98,di dalamnya,59,padanya (hari itu),1,di dalamnya,padanya | tentang itu,outside_policy | parenthetical | long_gloss,87.06,2:281:4,[in it],Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
127,فِيهِ,98,di dalamnya,59,padanya/pada waktu itu,1,di dalamnya,padanya | tentang itu,outside_policy | slash_gloss | long_gloss,87.06,14:42:12,in it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
128,فِيهِ,98,di dalamnya,59,tentang (kebenaran) itu,1,di dalamnya,padanya | tentang itu,outside_policy | parenthetical | long_gloss,87.06,3:61:3,concerning it,Defaultkan kepada lokasi `di dalamnya`; gunakan `padanya` atau `tentang itu` hanya dalam binaan yang jelas.
129,وَلَهُمۡ,38,dan bagi mereka,33,dan mereka,1,dan bagi mereka,,outside_policy | entity_or_pronoun_shift,87.05,59:3:10,and for them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
130,وَنَحۡنُ,15,dan kami,9,dan /padahal kita,1,dan kami,,outside_policy | slash_gloss | long_gloss,87.00,12:8:9,while we,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
131,يُظۡلَمُونَ,15,mereka dianiaya,9,mereka dirugikan/aniaya,1,mereka dianiaya,,outside_policy | slash_gloss | entity_or_pronoun_shift,87.00,46:19:9,will not be wronged,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
132,ٱلۡأٓخِرِ,15,akhirat,13,kemudian/akhir,1,akhirat,,outside_policy | slash_gloss,87.00,9:99:7,the Last,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
133,بِٱللَّهِ,131,kepada Allah,78,dengan/demi Allah,1,kepada Allah,dengan Allah,outside_policy | slash_gloss | entity_or_pronoun_shift,86.86,4:62:11,by Allah,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
134,بِٱللَّهِ,131,kepada Allah,78,dengan/pada Allah,1,kepada Allah,dengan Allah,outside_policy | slash_gloss | entity_or_pronoun_shift,86.86,4:6:36,Allah,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
135,بِٱللَّهِ,131,kepada Allah,78,dengan/tentang Allah,1,kepada Allah,dengan Allah,outside_policy | slash_gloss | entity_or_pronoun_shift,86.86,35:5:13,about Allah,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
136,إِنَّمَآ,28,sesungguhnya hanyalah,24,sesungguhnya/hanyalah,1,sesungguhnya hanyalah,,outside_policy | slash_gloss,86.71,6:156:3,Only,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
137,خَٰلِدِينَ,42,mereka kekal,36,kekallah,1,mereka kekal,,outside_policy | entity_or_pronoun_shift,86.71,39:72:5,(to) abide eternally,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
138,خَٰلِدِينَ,42,mereka kekal,36,orang-orang yang kekal,1,mereka kekal,,outside_policy | long_gloss,86.71,21:8:9,immortals,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
139,تَوَلَّوۡاْ,19,mereka berpaling,11,(mereka) berpaling,1,mereka berpaling,,outside_policy | parenthetical | entity_or_pronoun_shift,86.37,3:155:3,turned back,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
140,أَنَّهُمۡ,33,bahawasanya mereka,19,bahawa sesungguhnya mereka,1,bahawasanya mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,86.27,6:130:25,that they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
141,أَنَّهُمۡ,33,bahawasanya mereka,19,kerana sesungguhnya mereka,1,bahawasanya mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,86.27,21:95:5,that they,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
142,نَجۡزِي,19,Kami memberi balasan,16,Kami membalas,1,Kami memberi balasan,,outside_policy | entity_or_pronoun_shift,86.26,20:127:2,We recompense,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
143,لَنَا,54,bagi kami,31,bagi kita (kita mempunyai),1,bagi kami,untuk kami,outside_policy | parenthetical | long_gloss,86.22,28:79:12,for us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
144,لَنَا,54,bagi kami,31,bagi/kerana kami,1,bagi kami,untuk kami,outside_policy | slash_gloss | entity_or_pronoun_shift,86.22,7:131:5,For us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
145,يَعۡمَلُونَ,56,mereka kerjakan,47,mereka melakukan,1,mereka kerjakan,,outside_policy | entity_or_pronoun_shift,86.18,11:78:8,doing,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
146,يَعۡمَلُونَ,56,mereka kerjakan,47,mereka mengerjakan,1,mereka kerjakan,,outside_policy | entity_or_pronoun_shift,86.18,21:27:6,act,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
147,بِهِمۡ,21,dengan mereka,12,dengan/kepada mereka,1,dengan mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,86.14,9:117:25,to them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
148,بِهِمۡ,21,dengan mereka,12,dengan/terhadap mereka,1,dengan mereka,,outside_policy | slash_gloss | entity_or_pronoun_shift,86.14,14:45:11,with them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
149,وَمَن,183,dan barang siapa,104,dan orang (makhluk),1,dan barang siapa,dan barangsiapa | dan orang | dan siapa,outside_policy | parenthetical | long_gloss,86.05,15:20:5,and whom,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
150,وَمَن,183,dan barang siapa,104,dan orang/segala apa,1,dan barang siapa,dan barangsiapa | dan orang | dan siapa,outside_policy | slash_gloss | long_gloss,86.05,27:87:9,and whoever,Defaultkan kepada bentuk syarat yang stabil bila konteks memberi maksud umum.
151,سَمِعۡنَا,16,kami mendengar,9,kami telah mendengarkan,1,kami mendengar,,outside_policy | long_gloss | entity_or_pronoun_shift,85.88,46:30:4,[we] have heard,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
152,يَعۡلَمُونَ,80,mereka mengetahui,66,mengetahui/memahami,1,mereka mengetahui,,outside_policy | slash_gloss,85.75,30:59:8,know,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
153,لِلنَّاسِ,36,bagi manusia,20,kepada manusia (orang banyak),1,bagi manusia,,outside_policy | parenthetical | long_gloss,85.67,26:39:2,to the people,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
154,بِهِۦ,220,dengannya,122,kepada-Nya (Allah),1,dengannya,dengan-Nya | kepadanya | padanya,outside_policy | parenthetical | entity_or_pronoun_shift,85.64,34:52:3,in it,Defaultkan kepada `dengannya`; jangan serap keseluruhan klausa ke dalam token ini.
155,فَإِنَّمَا,28,maka sesungguhnya hanyalah,23,maka sesungguhnya/hanyalah,1,maka sesungguhnya hanyalah,,outside_policy | slash_gloss,85.64,24:54:8,then only,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
156,حَتَّىٰ,95,sehingga,78,hingga/kecuali,1,sehingga,,outside_policy | slash_gloss,85.63,2:191:17,until,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
157,وَمَنۡ,46,dan barang siapa,13,dan orang (malaikat),1,dan barang siapa,dan barangsiapa | dan orang | dan orang-orang | dan siapa | dan siapakah,outside_policy | parenthetical | long_gloss | entity_or_pronoun_shift,85.48,21:19:6,And (those) who,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
158,وَكَذَٰلِكَ,38,dan demikianlah,31,dan seperti demikian,1,dan demikianlah,,outside_policy | long_gloss,85.47,30:19:13,and thus,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
159,وَكَذَٰلِكَ,38,dan demikianlah,31,dan seperti demikianlah,1,dan demikianlah,,outside_policy | long_gloss,85.47,25:31:1,And thus,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
160,بِمَا,253,dengan apa,71,dengan/terhadap (segala apa),1,dengan apa,dengan sebab | dengan/terhadap apa | disebabkan | terhadap apa,outside_policy | slash_gloss | parenthetical | long_gloss,85.42,3:120:19,of what,Pilih makna instrumental `dengan apa` sebagai default; sebab/kausal hanya bila konteks jelas.
161,قَالُواْ,171,mereka berkata,139,mereka mengucapkan,1,mereka berkata,,outside_policy | entity_or_pronoun_shift,85.39,11:69:6,they said,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
162,لَكَ,55,bagimu,30,padamu/tentang kamu,1,bagimu,kepadamu,outside_policy | slash_gloss | entity_or_pronoun_shift,85.36,25:9:4,for you,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
163,وَلَا,604,dan tidak,329,dan jangan kamu,1,dan tidak,dan jangan | dan janganlah | dan tidak ada,outside_policy | long_gloss | entity_or_pronoun_shift,85.34,27:70:4,and not,Gunakan bentuk larangan hanya apabila fi'il selepasnya jelas larangan.
164,يَشۡعُرُونَ,21,mereka menyedari,17,menyedari/mengetahui,1,mereka menyedari,,outside_policy | slash_gloss,85.29,27:65:12,they perceive,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
165,يَرَوۡاْ,24,mereka memperhatikan,13,mereka melihat/memperlihatkan,1,mereka memperhatikan,,outside_policy | slash_gloss | entity_or_pronoun_shift,85.25,36:71:2,they see,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
166,هُوَ,239,Dia,129,ia (Nabi),1,Dia,Dialah | dia | ia,outside_policy | parenthetical | entity_or_pronoun_shift,85.19,9:61:6,He is,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
167,هُوَ,239,Dia,129,ia/itu(Al Qur'an),1,Dia,Dialah | dia | ia,outside_policy | slash_gloss | parenthetical,85.19,32:3:5,it,Pilih `Dia` bila rujukan kepada Allah jelas; selain itu `dia/ia` mengikut antecedent.
168,فَمَا,69,maka tidak,37,maka/kerana itu tidak ada,1,maka tidak,,outside_policy | slash_gloss | long_gloss,85.09,26:100:1,So (now) not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
169,مِنۡهُم,15,dari mereka,8,dari antara mereka,1,dari mereka,,outside_policy | long_gloss | entity_or_pronoun_shift,85.00,19:98:8,of them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
170,مِّنَّا,15,dari Kami,12,dari antar kita,1,dari Kami,,outside_policy | long_gloss,85.00,54:24:3,among us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
171,مِّنَّا,15,dari Kami,12,dari kami,1,dari Kami,,outside_policy | entity_or_pronoun_shift,85.00,36:18:10,from us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
172,مِّنَّا,15,dari Kami,12,daripada Kami,1,dari Kami,,outside_policy | entity_or_pronoun_shift,85.00,21:43:13,from Us,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
173,هُوَۖ,15,Dia,12,ia/itu,1,Dia,,outside_policy | slash_gloss,85.00,17:51:20,it (be),Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
174,بِـَٔايَٰتِنَا,38,dengan ayat-ayat Kami,20,terhadap tanda-tanda Kami,1,dengan ayat-ayat Kami,,outside_policy | long_gloss | entity_or_pronoun_shift,84.79,41:15:24,in Our Signs,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
175,فِيمَا,19,tentang apa,10,dalam apa/dalam hal,1,tentang apa,,outside_policy | slash_gloss | long_gloss,84.79,23:100:4,in what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
176,فِيمَا,19,tentang apa,10,terhadap apa (sesuatu),1,tentang apa,,outside_policy | parenthetical | long_gloss,84.79,4:24:32,concerning what,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
177,كَانُوٓاْ,19,adalah mereka,15,mereka,1,adalah mereka,,outside_policy | entity_or_pronoun_shift,84.68,28:63:16,they used (to),Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
178,ٱلصَّـٰلِحِينَ,19,orang-orang yang saleh,15,orang-orang yang sholeh,1,orang-orang yang saleh,,outside_policy | long_gloss,84.68,9:75:12,the righteous,Kekalkan gloss relatif yang stabil; jangan tambah rujukan entiti pada token ini.
179,لَّهُمۡ,22,bagi mereka,17,untuk mereka,1,bagi mereka,,outside_policy | entity_or_pronoun_shift,84.18,52:24:4,for them,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
180,وَإِن,146,dan jika,112,dan tidak ada,1,dan jika,,outside_policy | long_gloss,84.01,35:24:6,And not,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
181,وَإِن,146,dan jika,112,dan tidak lain,1,dan jika,,outside_policy | long_gloss,84.01,36:32:1,And surely,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
182,خَلَقۡنَا,18,Kami telah menciptakan,9,Kami menciptakan/menjadikan,1,Kami telah menciptakan,,outside_policy | slash_gloss | entity_or_pronoun_shift,84.00,44:38:2,We created,Kekalkan sense dominan Quranic sebagai gloss lalai. Alternate hanya jika konteks memaksa.
